specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
2165210579902425088,0.1395377,QSO,STARBURST BROADLINE,1177.4,3421.211,-30.15136,1400.953,568.3103,0.1661138,0.4056597,2.44206,0.03154486
2920755402486343680,0.05681,GALAXY,,1177.4,51.77808,-0.6261827,46.78863,41.88915,0.8090133,0.8952849,1.106638,0.02510186
3346215282006845440,0.08366632,QSO,STARBURST BROADLINE,1108.003,3610.479,-28.1305,1385.311,2427.053,0.6722247,1.751991,2.606258,0.03013047
811912133800388608,0.08289477,GALAXY,BROADLINE,1177.4,30.93255,-0.3888011,16.63278,61.13594,1.976428,3.67563,1.859734,0.05492552
1015598590027917312,0.0563294,QSO,STARBURST BROADLINE,1177.4,2322.049,-20.472,977.8483,2978.191,1.28257,3.045658,2.374651,0.0146779
393077359579785216,0.06029864,GALAXY,,1177.4,20.10234,-0.3151366,15.74948,34.38978,1.710735,2.183551,1.276382,0.03616071
833316877001320448,0.2349658,QSO,STARBURST BROADLINE,1177.4,802.0439,-9.961286,492.5225,1340.578,1.671452,2.721861,1.628441,0.05002049
1101274185868535808,0.1103326,QSO,STARBURST BROADLINE,1177.4,7375.022,-31.24908,3320.828,5745.547,0.7790549,1.730155,2.220839,0.0337978
1377105100220164096,0.05014781,QSO,STARBURST BROADLINE,1128.523,3397.969,-22.88305,1610.891,2849.511,0.8385926,1.768904,2.109372,0.02880776
1812767347363047424,0.1756542,QSO,BROADLINE,1177.4,1434.56,-9.266861,820.0704,981.0342,0.6838572,1.19628,1.749313,0.02661542
1829624234939279360,0.08044197,QSO,STARBURST BROADLINE,1177.4,2319.595,-25.66527,1068.148,534.6088,0.230475,0.5005008,2.171605,0.02060772
2417473459694102528,0.1444477,QSO,BROADLINE,1177.4,686.9014,-8.880097,364.7195,415.7328,0.6052293,1.13987,1.883369,0.02831765
