specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3,log_nii,log_oiii,BPT class,abs_h_alpha_eqw,WHAN class,WISE class,AGN in all,n_e,log_MBH,mbh_bin
299610073968175104,0.123279,146.4084,185.1001,19.27157,56.34292,236.8927,-22.12315,57.86506,52.49122,173.0037,2.598524,0.7303039,14.264,13.549,9.84,0.7150002,3.709,-0.1364963801144627,0.41472673232664115,Seyfert,22.12315,Seyfert,Other,False,324.7552916621013,7.99483416401755,"(7.5, 8.0]"
299617220793755648,0.08006686,96.68105,81.84615,22.7352,197.7811,887.5396,-56.33089,161.6675,123.0287,252.1798,0.4888287,0.2841336,13.569,13.256,9.152,0.3130007,4.103999,-0.5464774060808035,-0.31084330381762104,Star-forming,56.33089,Star-forming,Other,False,96.44792812901703,6.570112403510136,"(6.5, 7.0]"
299617770549569536,0.0303838,38.5819,72.16143,16.40117,44.90566,200.2706,-6.760734,63.06165,41.37077,86.59311,0.8591767,0.4323806,12.981,12.92,10.116,0.06099987,2.804,-0.3641338001534152,-0.06591750911034414,Composite,6.760734,Seyfert,Other,False,-42.753154409486505,6.3502460436252175,"(6.0, 6.5]"
299618045427476480,0.1222152,173.4187,169.6663,36.95225,47.87605,190.735,-14.68593,84.31168,74.70917,167.8519,3.622243,0.8800271,14.323,14.217,11.445,0.1059999,2.772,-0.05550395375978414,0.5589775818198777,Seyfert,14.68593,Seyfert,Other,False,289.03722301961665,7.842833685460808,"(7.5, 8.0]"
299619694694918144,0.01112419,2279.035,44.56589,45.14973,701.9868,2375.152,-214.2174,230.952,178.0945,198.7981,3.24655,0.08369911,14.443,14.197,10.492,0.2460003,3.705,-1.0772791599773959,0.5114220958140052,Star-forming,214.2174,Star-forming,Other,False,110.88772294402389,5.508849805085187,"(5.5, 6.0]"
299619969572825088,0.1454365,14.76035,94.2975,7.226433,66.13542,309.0901,-24.18361,38.52331,28.95356,104.2506,0.2231837,0.3372823,14.117,13.772,9.77,0.3449993,4.002,-0.4720064492466919,-0.6513375268426694,Star-forming,24.18361,Star-forming,Other,False,83.20274668625166,6.817350136790528,"(6.5, 7.0]"
299621069084452864,0.08002961,69.72427,48.58522,9.937716,71.70961,263.7695,-48.88405,56.71581,43.74263,57.32608,0.9723141,0.217334,15.404,15.22,10.922,0.184,4.298,-0.6628723267981232,-0.012193416286804653,Star-forming,48.88405,Star-forming,Other,False,111.07104238232877,5.659606195344864,"(5.5, 6.0]"
299622718351894528,0.03735736,87.5701,51.20565,18.81296,94.31874,459.367,-45.31701,94.15914,69.78603,131.3241,0.9284486,0.2858807,14.693,14.598,10.526,0.09500027,4.072,-0.5438151631674665,-0.03224213430897713,Star-forming,45.31701,Star-forming,Other,False,68.7032904037161,5.751317308724464,"(5.5, 6.0]"
299627941032126464,0.05756393,22.10358,36.39505,8.143293,36.79979,159.557,-21.70031,38.0825,27.92311,44.34494,0.6006442,0.2779255,14.903,14.735,11.107,0.1680002,3.627999,-0.5560716043517278,-0.22138271224726883,Star-forming,21.70031,Star-forming,Other,False,57.822491629158556,5.155249545261569,"(5.0, 5.5]"
299628490787940352,0.03032346,85.59758,65.33919,31.71647,317.4383,1473.619,-55.07597,237.2078,162.8932,505.576,0.2696511,0.3430846,12.849,12.571,8.332,0.2779999,4.239,-0.4645987756340739,-0.569197803734967,Star-forming,55.07597,Star-forming,Other,False,-3.925962778623845,6.176857877517224,"(6.0, 6.5]"
299632339078637568,0.05742602,38.00491,112.3122,15.70635,53.42515,225.8311,-6.796099,56.99457,39.93906,132.5258,0.7113675,0.5868362,13.286,13.182,10.171,0.1040001,3.011001,-0.2314831038005813,-0.14790598015822368,Composite,6.796099,Seyfert,Other,False,14.338729652470208,7.12257569371663,"(7.0, 7.5]"
