RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
197.93417,20.01997,2618,416,54506,-23.4,45.362,0.003,42.73,0.01,5359.7,161.9,101.2,3.4,28.96,8.57,0.03,-1.3,2947720380921440256,0.2926029,317.0081,1177.4
197.98416,60.33945,958,525,52410,-23.32,45.368,0.003,42.21,0.02,3870.9,227.9,30.9,1.6,21.33,8.29,0.05,-1.02,1078756462089496576,0.2826634,170.9032,1177.4
198.01962,6.68544,1795,106,54507,-24.79,45.945,0.002,43.24,0.01,7459.5,94.1,83.3,3.0,55.84,9.14,0.01,-1.3,2021019545455585280,0.2418267,655.4658,1177.4
198.07396,35.25585,2016,61,53799,-24.67,46.052,0.001,43.18,0.01,4743.1,130.6,59.3,1.4,46.83,8.8,0.02,-0.85,2269831043483723776,0.1829528,1984.522,1177.4
198.09209,29.62994,2009,546,53904,-22.78,45.18,0.005,42.46,0.03,4487.7,210.9,84.6,7.0,20.13,8.32,0.04,-1.24,2262083061682300928,0.2466348,244.6292,1177.4
198.11266,41.1058,1460,197,53138,-22.74,45.173,0.005,42.15,0.05,4132.8,451.2,43.2,5.3,15.19,8.25,0.09,-1.17,1643868067584829440,0.2694953,139.8595,1177.4
198.21835,50.27443,1281,569,52753,-22.81,45.121,0.004,42.39,0.02,12521.9,1016.5,85.0,5.0,16.4,9.18,0.07,-2.16,1442434232382154752,0.2491418,99.44942,734.6262
198.28564,16.3569,2604,232,54484,-22.49,44.943,0.005,42.22,0.08,1647.6,1359.9,85.1,15.0,17.53,7.33,0.72,-0.49,2931907204321667072,0.2082254,504.2233,1177.4
198.30054,28.79167,2009,70,53904,-22.7,45.097,0.006,42.18,0.03,4133.5,255.4,55.3,4.0,16.56,8.21,0.05,-1.21,2261952219798595584,0.2588019,171.1441,1177.4
198.36449,-2.54247,340,174,51990,-22.33,45.047,0.003,41.8,0.03,8240.8,715.6,26.2,1.8,22.67,8.78,0.08,-1.84,382853830468986880,0.1742078,102.635,1177.4
198.52074,15.51505,1773,333,53112,-22.83,45.217,0.011,42.41,0.04,3821.3,128.4,67.1,6.0,34.71,8.2,0.03,-1.08,1996312121385707520,0.1649692,929.8559,1177.4
198.52678,31.97909,2093,123,53818,-22.53,45.025,0.004,42.03,0.02,5905.6,251.2,46.2,2.4,21.86,8.48,0.04,-1.56,2356542379059603456,0.176481,248.2047,1177.4
198.78593,43.19787,1375,87,53084,-22.56,45.061,0.008,42.44,0.01,2019.1,62.4,103.2,3.8,18.14,7.57,0.03,-0.61,1548136338027472896,0.1966696,973.7367,1177.4
198.89946,13.8157,1773,211,53112,-22.49,45.019,0.002,41.81,0.02,1400.1,83.9,27.5,1.5,20.16,7.23,0.05,-0.31,1996278586281060352,0.1967043,393.8115,720.9683
198.90735,60.75173,784,253,52327,-22.57,45.038,0.005,42.16,0.05,5127.9,502.9,60.5,6.7,16.11,8.37,0.09,-1.43,882775110115682304,0.2512348,135.408,1177.4
198.95998,23.07459,2651,448,54507,-22.62,45.094,0.005,41.89,0.06,7662.7,1531.5,29.6,4.4,15.06,8.74,0.17,-1.75,2984883873957046272,0.2577475,41.14272,584.0079
199.24026,64.30289,602,22,52072,-22.9,45.177,0.005,42.3,0.05,6772.9,709.8,61.3,6.3,18.68,8.68,0.09,-1.6,677797825995630592,0.2730165,113.0889,1177.4
199.2771,6.4899,1797,139,54507,-23.13,45.195,0.006,42.36,0.03,8887.2,2296.9,69.6,4.8,20.49,8.92,0.22,-1.83,2023280416240199680,0.1993042,205.9592,504.0516
199.35562,17.10869,2604,598,54484,-22.31,44.949,0.004,41.89,0.03,8445.4,884.8,41.0,2.8,18.51,8.75,0.09,-1.91,2932007809635608576,0.1927217,113.8943,1177.4
199.40804,10.4077,1798,410,53851,-22.82,45.243,0.004,42.05,0.06,6537.1,776.2,29.9,3.7,20.81,8.68,0.1,-1.54,2024480797053970432,0.2800465,48.78432,623.6185
199.45967,60.17801,958,606,52410,-22.33,44.999,0.003,41.66,0.03,3751.9,299.1,21.4,1.8,27.67,8.07,0.07,-1.18,1078778727199959040,0.1371693,333.0728,588.9384
199.63397,34.89381,2023,192,53851,-23.03,45.157,0.002,42.32,0.02,3372.5,238.8,62.9,3.2,23.66,8.06,0.06,-1.0,2277748352709847040,0.2158535,539.6846,1177.4
199.6964,9.79445,1798,559,53851,-22.93,45.28,0.006,42.05,0.04,7971.9,511.8,26.1,2.9,23.89,8.87,0.06,-1.69,2024521753862105088,0.2746552,86.26176,1177.4
199.78262,27.3078,2243,585,53794,-22.78,45.129,0.006,42.23,0.02,7106.0,853.4,57.5,4.0,17.59,8.69,0.1,-1.67,2525554358276352000,0.284118,54.28283,1177.4
199.89888,2.37314,526,431,52312,-22.73,45.157,0.002,42.04,0.04,1438.7,236.9,34.7,3.6,20.35,7.32,0.14,-0.26,592341862166063104,0.2619666,287.547,788.1648
199.97148,3.55999,526,410,52312,-22.34,45.017,0.004,41.79,0.1,4653.7,780.2,28.1,6.3,16.72,8.27,0.15,-1.35,592336089730017280,0.2089116,60.35434,397.1622
200.20163,3.04457,526,457,52312,-23.86,45.5,0.007,42.71,0.03,4050.2,202.5,70.2,5.1,31.08,8.39,0.04,-0.99,592349008991643648,0.2969392,478.4542,1177.4
200.25348,45.68458,1461,15,53062,-22.95,45.178,0.004,42.34,0.02,5281.6,419.8,65.9,3.6,16.47,8.46,0.07,-1.38,1644943938437539840,0.297337,103.6456,1177.4
200.34753,4.99187,852,349,52375,-23.74,45.553,0.002,42.69,0.03,4146.0,112.9,62.0,4.1,30.71,8.44,0.02,-0.99,959362692865353728,0.2424925,524.1245,1177.4
200.43738,3.51548,526,537,52312,-24.76,45.79,0.0,43.09,0.01,4727.9,146.2,85.0,1.7,45.67,8.67,0.03,-0.98,592370999224199168,0.2688896,1217.897,1177.4
200.45027,54.13625,1041,440,52724,-23.05,45.238,0.008,42.48,0.06,5812.9,223.1,76.0,13.0,18.74,8.57,0.03,-1.44,1172182795003389952,0.2917909,178.4646,1177.4
200.49541,52.74477,1041,285,52724,-22.94,45.182,0.005,42.41,0.03,2734.5,179.0,75.5,6.6,17.87,7.89,0.06,-0.81,1172140188927813632,0.2799852,334.2975,1177.4
200.50446,51.71045,1667,543,53430,-22.65,45.127,0.005,42.18,0.04,14564.2,1560.4,57.6,6.8,16.84,9.32,0.09,-2.29,1877024460956002304,0.2508286,15.71955,701.8312
200.64273,63.23564,603,260,52056,-22.67,45.147,0.004,42.1,0.04,4341.4,334.7,41.4,4.3,19.32,8.28,0.07,-1.23,678989146575890432,0.2183968,190.2026,1177.4
200.9205,42.90492,1376,94,53089,-22.7,45.062,0.003,41.62,0.04,5592.2,1000.1,17.1,1.6,17.89,8.45,0.16,-1.49,1549264162163550208,0.177022,116.7309,531.8083
200.9698,-2.01716,341,600,51690,-22.84,45.186,0.006,42.12,0.03,1931.3,219.0,38.6,3.3,23.92,7.59,0.1,-0.51,384096823331022848,0.2229706,485.5947,1177.4
201.07607,58.81992,959,192,52411,-22.69,45.054,0.006,42.31,0.03,6930.6,424.9,82.9,6.6,20.06,8.64,0.05,-1.68,1079790827670104064,0.1921499,199.6283,833.6886
201.49541,-3.51389,910,259,52377,-22.4,45.056,0.003,41.96,0.06,5971.2,637.7,36.9,5.7,18.81,8.51,0.09,-1.55,1024640148484155392,0.1854109,159.8737,1177.4
201.68176,1.86925,527,229,52342,-22.47,45.002,0.001,42.46,0.01,2989.7,82.9,126.0,4.0,19.16,7.88,0.02,-0.98,593412237239019520,0.1967719,598.4462,1177.4
201.73091,12.78296,1699,331,53148,-22.46,45.171,0.005,42.11,0.03,4224.0,525.2,38.7,3.9,19.01,8.26,0.11,-1.19,1912994979127519232,0.2017202,287.0493,1177.4
202.08502,24.15762,2664,39,54524,-23.31,45.498,0.008,42.71,0.06,1812.0,663.7,69.8,8.5,31.39,7.69,0.32,-0.29,2999408147967272960,0.2226322,1267.704,1177.4
